AC	ID	Name	Type
PF11195	DUF2829	Protein of unknown function (DUF2829)	F
PF11197	DUF2835	Protein of unknown function (DUF2835)	F
PF11196	DUF2834	Protein of unknown function (DUF2834)	F
PF11199	DUF2891	Protein of unknown function (DUF2891)	F
PF11198	DUF2857	Protein of unknown function (DUF2857)	F
PF13974	YebO	YebO-like protein	D
PF14322	SusD-like_3	Starch-binding associating with outer membrane	F
PF10793	Gloverin	Gloverin-like protein	F
PF16419	CNOT1_HEAT_N	CCR4-NOT transcription complex subunit 1 HEAT repeat	D
PF16418	CNOT1_HEAT	CCR4-NOT transcription complex subunit 1 HEAT repeat	D
PF01817	CM_2	Chorismate mutase type II	D
PF01816	LRV	Leucine rich repeat variant	R
PF01810	LysE	LysE type translocator	F
PF01813	ATP-synt_D	ATP synthase subunit D	F
PF01812	5-FTHF_cyc-lig	5-formyltetrahydrofolate cyclo-ligase family	F
PF13171	DUF4004	Protein of unknown function (DUF4004)	F
PF13170	DUF4003	Protein of unknown function (DUF4003)	F
PF13173	AAA_14	AAA domain	F
PF16412	DUF5020	Domain of unknown function (DUF5020)	F
PF16415	CNOT1_CAF1_bind	CCR4-NOT transcription complex subunit 1 CAF1-binding domain	D
PF16414	NPC1_N	Niemann-Pick C1 N terminus	D
PF13177	DNA_pol3_delta2	DNA polymerase III, delta subunit	D
PF16416	GUN4_N	ARM-like repeat domain, GUN4-N terminal	D
PF12569	NARP1	NMDA receptor-regulated protein 1	F
PF12568	PanZ	Acetyltransferase (GNAT) domain, PanZ	D
PF12561	TagA	ToxR activated gene A lipoprotein domain	D
PF10861	DUF2784	Protein of Unknown function (DUF2784)	F
PF12563	Hemolysin_N	Hemolytic toxin N terminal	F
PF12562	DUF3746	Protein of unknown function (DUF3746)	F
PF12565	DUF3747	Protein of unknown function (DUF3747)	F
PF12564	TypeIII_RM_meth	Type III restriction/modification enzyme methylation subunit	F
PF12567	CD45	Leukocyte receptor CD45	F
PF12566	DUF3748	Protein of unknown function (DUF3748)	F
PF11999	DUF3494	Protein of unknown function (DUF3494)	F
PF11998	DUF3493	Low psii accumulation1 / Rep27	F
PF14749	Acyl-CoA_ox_N	Acyl-coenzyme A oxidase N-terminal	D
PF14748	P5CR_dimer	Pyrroline-5-carboxylate reductase dimerisation	D
PF14743	DNA_ligase_OB_2	DNA ligase OB-like domain	D
PF11990	DUF3487	Protein of unknown function (DUF3487)	F
PF14741	GH114_assoc	N-terminal glycosyl-hydrolase-114-associated domain	D
PF11992	DUF3488	Domain of unknown function (DUF3488)	F
PF11995	DUF3490	Domain of unknown function (DUF3490)	F
PF11994	DUF3489	Protein of unknown function (DUF3489)	F
PF11997	DUF3492	Domain of unknown function (DUF3492)	F
PF11996	DUF3491	Protein of unknown function (DUF3491)	F
PF16675	FOXO_KIX_bdg	KIX-binding domain of forkhead box O, CR2	F
PF13282	DUF4070	Domain of unknown function (DUF4070)	D
PF13281	DUF4071	Domain of unknown function (DUF4071)	F
PF16676	FOXO-TAD	Transactivation domain of FOXO protein family	D
PF16671	ACD	Actin cross-linking domain	D
PF13286	HD_assoc	Phosphohydrolase-associated domain	D
PF13285	DUF4073	Domain of unknown function (DUF4073)	F
PF13284	DUF4072	Domain of unknown function (DUF4072)	F
PF13289	SIR2_2	SIR2-like domain	F
PF13288	DXPR_C	DXP reductoisomerase C-terminal domain	D
PF16679	CDT1_C	DNA replication factor Cdt1 C-terminal domain	D
PF16678	HOIP-UBA	HOIP UBA domain pair	F
PF09597	IGR	IGR protein motif	D
PF04228	Zn_peptidase	Putative neutral zinc metallopeptidase	F
PF02548	Pantoate_transf	Ketopantoate hydroxymethyltransferase	F
PF02238	COX7a	Cytochrome c oxidase subunit VII	F
PF02239	Cytochrom_D1	Cytochrome D1 heme domain	D
PF02234	CDI	Cyclin-dependent kinase inhibitor	F
PF02543	Carbam_trans_N	Carbamoyltransferase N-terminus	D
PF02540	NAD_synthase	NAD synthase	D
PF02237	BPL_C	Biotin protein ligase C terminal domain	D
PF02230	Abhydrolase_2	Phospholipase/Carboxylesterase	D
PF02547	Queuosine_synth	Queuosine biosynthesis protein	F
PF02232	Alpha_TIF	Alpha trans-inducing protein (Alpha-TIF)	F
PF02545	Maf	Maf-like protein	D
PF14982	UPF0731	UPF0731 family	F
PF10797	YhfT	Protein of unknown function	F
PF16100	RMI2	RecQ-mediated genome instability protein 2	F
PF14987	NADHdh_A3	NADH dehydrogenase 1 alpha subcomplex subunit 3	F
PF15317	Lbh	Cardiac transcription factor regulator, Developmental protein	F
PF12816	Vps8	Golgi CORVET complex core vacuolar protein 8	D
PF14986	DUF4514	Domain of unknown function (DUF4514)	F
PF15316	MDFI	MyoD family inhibitor	F
PF11757	RSS_P20	Suppressor of RNA silencing P21-like N-terminal domain	D
PF11756	YgbA_NO	Nitrous oxide-stimulated promoter	F
PF10488	PP1c_bdg	Phosphatase-1 catalytic subunit binding region	D
PF10865	DUF2703	Domain of unknown function (DUF2703)	D
PF07993	NAD_binding_4	Male sterility protein	F
PF10480	ICAP-1_inte_bdg	Beta-1 integrin binding protein	F
PF10481	CENP-F_N	Cenp-F N-terminal domain	D
PF10482	CtIP_N	Tumour-suppressor protein CtIP N-terminal domain	D
PF10483	Elong_Iki1	Elongator subunit Iki1	F
PF10484	MRP-S23	Mitochondrial ribosomal protein S23	F
PF07990	NABP	Nucleic acid binding protein NABP	D
PF10486	PI3K_1B_p101	Phosphoinositide 3-kinase gamma adapter protein p101 subunit	F
PF10487	Nup188	Nucleoporin subcomplex protein binding to Pom34	F
PF14813	NADH_B2	NADH dehydrogenase 1 beta subcomplex subunit 2	F
PF14812	PBP1_TM	Transmembrane domain of transglycosylase PBP1 at N-terminal	F
PF14811	TPD	Protein of unknown function TPD sequence-motif	F
PF07623	PEGSRP	Protein of unknown function (DUF1584)	M
PF14817	HAUS5	HAUS augmin-like complex subunit 5	F
PF14816	FAM178	Family of unknown function, FAM178	F
PF14815	NUDIX_4	NUDIX domain	D
PF14814	UB2H	Bifunctional transglycosylase second domain	D
PF07996	T4SS	Type IV secretion system proteins	F
PF14819	QueF_N	Nitrile reductase, 7-cyano-7-deazaguanine-reductase N-term	D
PF14818	DUF4482	Domain of unknown function (DUF4482)	F
PF07997	DUF1694	Protein of unknown function (DUF1694)	F
PF18105	PGM1_C	PGM1 C-terminal domain	D
PF18456	CmlA_N	Diiron non-heme beta-hydroxylase N-terminal domain	D
PF18455	GBR2_CC	Gamma-aminobutyric acid type B receptor subunit 2 coiled-coil domain	C
PF18454	Mtd_N	Major tropism determinant N-terminal domain	D
PF18453	C4bp_oligo	Oligomerization domain of C4b-binding protein alpha	D
PF18452	Ig_6	Immunoglobulin domain	D
PF18451	CdiA_C	Contact-dependent growth inhibition CdiA C-terminal domain	D
PF18102	DTC	Deltex C-terminal domain	D
PF10100	Staph_opine_DH	Staphylopine dehydrogenase	F
PF07627	PSCyt3	Protein of unknown function (DUF1588)	F
PF18109	Fer4_24	Ferredoxin I 4Fe-4S cluster domain	D
PF18108	QSOX_Trx1	QSOX Trx-like domain	D
PF18459	PCSK9_C1	Proprotein convertase subtilisin-like/kexin type 9 C-terminal domain	D
PF14370	Topo_C_assoc	C-terminal topoisomerase domain	F
PF10732	DUF2524	Protein of unknown function (DUF2524)	F
PF10733	DUF2525	Protein of unknown function (DUF2525)	F
PF10730	DUF2521	Protein of unknown function (DUF2521)	F
PF10731	Anophelin	Thrombin inhibitor from mosquito	F
PF10736	DUF2527	Protein of unknown function (DUF2627)	F
PF10737	GerPC	Spore germination protein GerPC	F
PF10734	DUF2523	Protein of unknown function (DUF2523)	F
PF10735	DUF2526	Protein of unknown function (DUF2526)	F
PF10738	Lpp-LpqN	Probable lipoprotein LpqN	F
PF10739	DUF2550	Protein of unknown function (DUF2550)	F
PF17108	HET-S	N-terminal small S protein of HET, non-prionic	F
PF17109	Goodbye	fungal STAND N-terminal Goodbye domain	F
PF00901	Orbi_VP5	Orbivirus outer capsid protein VP5	F
PF05019	Coq4	Coenzyme Q (ubiquinone) biosynthesis protein Coq4	F
PF05018	DUF667	Protein of unknown function (DUF667)	F
PF14139	YpzG	YpzG-like protein	F
PF05011	DBR1	Lariat debranching enzyme, C-terminal domain	D
PF16428	DUF5025	Domain of unknown function (DUF5025)	F
PF05013	FGase	N-formylglutamate amidohydrolase	F
PF05015	HigB-like_toxin	RelE-like toxin of type II toxin-antitoxin system HigB	F
PF05014	Nuc_deoxyrib_tr	Nucleoside 2-deoxyribosyltransferase	D
PF05017	TMP	TMP repeat	R
PF13149	Mfa_like_1	Fimbrillin-like	F
PF09543	DUF2379	Protein of unknown function (DUF2379)	F
PF09014	Sushi_2	Beta-2-glycoprotein-1 fifth domain	D
PF09017	Transglut_prok	Microbial transglutaminase	D
PF09016	Pas_Saposin	Pas factor saposin fold	D
PF09011	HMG_box_2	HMG-box domain	D
PF09010	AsiA	Anti-Sigma Factor A	D
PF09545	RE_AccI	AccI restriction endonuclease	F
PF09544	DUF2381	Protein of unknown function (DUF2381)	F
PF17966	Mub_B2	Mub B2-like domain	D
PF10624	TraS	Plasmid conjugative transfer entry exclusion protein TraS	F
PF09549	RE_Bpu10I	Bpu10I restriction endonuclease	F
PF09506	Salt_tol_Pase	Glucosylglycerol-phosphate phosphatase (Salt_tol_Pase)	F
PF09019	EcoRII-C	EcoRII C terminal	D
PF09018	Phage_Capsid_P3	P3 major capsid protein	D
PF13008	zf-Paramyx-P	Zinc-binding domain of Paramyxoviridae V protein	D
PF01669	Myelin_MBP	Myelin basic protein	F
PF13996	YobH	YobH-like protein	F
PF16396	DUF5005	Domain of unknown function (DUF5005)	F
PF05010	TACC_C	Transforming acidic coiled-coil-containing protein (TACC), C-terminal	C
PF16425	DUF5022	Domain of unknown function (DUF5022)	F
PF16426	DUF5023	Domain of unknown function (DUF5023)	F
PF05275	CopB	Copper resistance protein B precursor (CopB)	F
PF05274	Baculo_E25	Occlusion-derived virus envelope protein E25	F
PF05277	DUF726	Protein of unknown function (DUF726)	F
PF16427	DUF5024	Domain of unknown function (DUF5024)	F
PF05271	Tobravirus_2B	Tobravirus 2B protein	F
PF05270	AbfB	Alpha-L-arabinofuranosidase B (ABFB) domain	D
PF05273	Pox_RNA_Pol_22	Poxvirus RNA polymerase 22 kDa subunit	F
PF05272	VirE	Virulence-associated protein E	D
PF13140	DUF3980	Domain of unknown function (DUF3980)	F
PF06739	SBBP	Beta-propeller repeat	R
PF05279	Asp-B-Hydro_N	Aspartyl beta-hydroxylase N-terminal region	F
PF05278	PEARLI-4	Arabidopsis phospholipase-like protein (PEARLI 4)	F
PF16421	E2F_CC-MB	E2F transcription factor CC-MB domain	D
PF12122	Rhomboid_N	Cytoplasmic N-terminal domain of rhomboid serine protease	D
PF13142	DUF3960	Domain of unknown function (DUF3960)	F
PF18189	RIF5_SNase_2	TbRIF5 SNase domain 2	D
PF13143	DUF3986	Protein of unknown function (DUF3986)	F
PF18188	PPL4	Prim-pol 4	F
PF17889	NLRC4_HD	NLRC4 helical domain	D
PF18185	STALD	Sir2- and TIR-associating SLOG family	F
PF18184	SLATT_3	SMODS and SLOG-associating 2TM effector domain 3	D
PF18518	TcA_RBD	TcA receptor binding domain	D
PF10103	Zincin_2	Zincin-like metallopeptidase	F
PF14101	DUF4275	Domain of unknown function (DUF4275)	F
PF11460	DUF3007	Protein of unknown function (DUF3007)	F
PF14103	DUF4276	Domain of unknown function (DUF4276)	F
PF11462	DUF3203	Protein of unknown function (DUF3203)	D
PF14105	DUF4278	Domain of unknown function (DUF4278)	F
PF14104	DUF4277	Domain of unknown function (DUF4277)	F
PF14107	DUF4280	Domain of unknown function (DUF4280)	F
PF11466	Doppel	Prion-like protein Doppel	F
PF14109	GldH_lipo	GldH lipoprotein	F
PF14108	DUF4281	Domain of unknown function (DUF4281)	F
PF04276	DUF443	Protein of unknown function (DUF443)	F
PF12554	MOZART1	Mitotic-spindle organizing gamma-tubulin ring associated	F
PF04275	P-mevalo_kinase	Phosphomevalonate kinase	F
PF04272	Phospholamban	Phospholamban	D
PF04273	DUF442	Putative phosphatase (DUF442)	D
PF04270	Strep_his_triad	Streptococcal histidine triad protein	F
PF12555	TPPK_C	Thiamine pyrophosphokinase C terminal	F
PF18182	mCpol	minimal CRISPR polymerase domain	D
PF01822	WSC	WSC domain	D
PF03719	Ribosomal_S5_C	Ribosomal protein S5, C-terminal domain	D
PF18433	DUF5610	Domain of unknown function (DUF5610)	D
PF00197	Kunitz_legume	Trypsin and protease inhibitor	D
PF00196	GerE	Bacterial regulatory proteins, luxR family	D
PF00195	Chal_sti_synt_N	Chalcone and stilbene synthases, N-terminal domain	D
PF00194	Carb_anhydrase	Eukaryotic-type carbonic anhydrase	D
PF00193	Xlink	Extracellular link domain	D
PF00191	Annexin	Annexin	F
PF00190	Cupin_1	Cupin	D
PF01824	MatK_N	MatK/TrnK amino terminal region	F
PF08640	U3_assoc_6	U3 small nucleolar RNA-associated protein 6	F
PF00199	Catalase	Catalase	D
PF00198	2-oxoacid_dh	2-oxoacid dehydrogenases acyltransferase (catalytic domain)	D
PF08764	Coagulase	Staphylococcus aureus coagulase	D
PF14247	DUF4344	Putative metallopeptidase	F
PF08766	DEK_C	DEK C terminal domain	D
PF08767	CRM1_C	CRM1 C terminal	F
PF08760	DUF1793	Domain of unknown function (DUF1793)	D
PF05902	4_1_CTD	4.1 protein C-terminal domain (CTD)	D
PF08762	CRPV_capsid	CRPV capsid protein like	D
PF08763	Ca_chan_IQ	Voltage gated calcium channel IQ domain	D
PF18361	ssDBP_DBD	Single stranded DNA-binding protein ss DNA binding domain	D
PF07568	HisKA_2	Histidine kinase	D
PF01827	FTH	FTH domain	D
PF08768	DUF1794	Domain of unknown function (DUF1794)	D
PF18432	ECD	Extracellular Cadherin domain	D
PF14248	DUF4345	Domain of unknown function (DUF4345)	F
PF05182	Fip1	Fip1 motif	M
PF18363	PI_PP_I	Phosphoinositide phosphatase insertion domain	D
PF18362	THB	Tri-helix bundle domain	D
PF14175	YaaC	YaaC-like Protein	F
PF13908	Shisa	Wnt and FGF inhibitory regulator	F
PF04053	Coatomer_WDAD	Coatomer WD associated region	F
PF01570	Flavi_propep	Flavivirus polyprotein propeptide	F
PF01571	GCV_T	Aminomethyltransferase folate-binding domain	D
PF04155	Ground-like	Ground-like domain	D
PF01577	Peptidase_S30	Potyvirus P1 protease	F
PF04682	Herpes_BTRF1	Herpesvirus BTRF1 protein conserved region	F
PF01575	MaoC_dehydratas	MaoC like domain	D
PF13901	zf-RING_9	Putative zinc-RING and/or ribbon	D
PF01578	Cytochrom_C_asm	Cytochrome C assembly protein	F
PF01579	DUF19	Domain of unknown function (DUF19)	D
PF13904	DUF4207	Domain of unknown function (DUF4207)	F
PF04891	NifQ	NifQ	F
PF13906	AA_permease_C	C-terminus of AA_permease	D
PF13907	DUF4208	Domain of unknown function (DUF4208)	D
PF07501	G5	G5 domain	D
PF06973	DUF1297	Domain of unknown function (DUF1297)	D
PF00223	PsaA_PsaB	Photosystem I psaA/psaB protein	F
PF07502	MANEC	MANEC domain	D
PF07505	DUF5131	Protein of unknown function (DUF5131)	F
PF07504	FTP	Fungalysin/Thermolysin Propeptide Motif	M
PF00227	Proteasome	Proteasome subunit	D
PF00226	DnaJ	DnaJ domain	D
PF07509	DUF1523	Protein of unknown function (DUF1523)	F
PF00228	Bowman-Birk_leg	Bowman-Birk serine protease inhibitor family	D
PF17810	Arg_decarb_HB	Arginine decarboxylase helical bundle domain	D
PF16921	Tex_YqgF	Tex protein YqgF-like domain	D
PF18368	Ig_GlcNase	Exo-beta-D-glucosaminidase Ig-fold domain	D
PF04267	SoxD	Sarcosine oxidase, delta subunit family	F
PF11051	Mannosyl_trans3	Mannosyltransferase putative	F
PF11052	Tr-sialidase_C	Trans-sialidase of Trypanosoma hydrophobic C-terminal	M
PF11053	DNA_Packaging	Terminase DNA packaging enzyme	F
PF11054	Surface_antigen	Sporozoite TA4 surface antigen	F
PF11055	Gsf2	Glucose signalling factor 2	F
PF11056	UvsY	Recombination, repair and ssDNA binding protein UvsY	F
PF11057	Cortexin	Cortexin of kidney	F
PF11058	Ral	Antirestriction protein Ral	F
PF11059	DUF2860	Protein of unknown function (DUF2860)	F
PF02346	Vac_Fusion	Chordopoxvirus multifunctional envelope protein A27	F
PF05188	MutS_II	MutS domain II	D
PF06072	Herpes_US9	Alphaherpesvirus tegument protein US9	F
PF17817	PDZ_5	PDZ domain	D
PF16976	RcpC	Flp pilus assembly protein RcpC/CpaB	F
PF17814	LisH_TPL	LisH-like dimerisation domain	D
PF17229	SMG1_N	Serine/threonine-protein kinase SMG1 N-terminal	D
PF14188	DUF4311	Domain of unknown function (DUF4311)	F
PF17815	PDZ_3	PDZ domain	D
PF01450	IlvC	Acetohydroxy acid isomeroreductase, catalytic domain	F
PF16974	NAR2	High-affinity nitrate transporter accessory	F
PF14361	RsbRD_N	RsbT co-antagonist protein rsbRD N-terminal domain	D
PF16975	UPAR_LY6_2	Ly6/PLAUR domain-containing protein 6, Lypd6	D
PF14360	PAP2_C	PAP2 superfamily C-terminal	D
PF16972	TipE	Na+ channel auxiliary subunit TipE	F
PF00685	Sulfotransfer_1	Sulfotransferase domain	D
PF14363	AAA_assoc	Domain associated at C-terminal with AAA	F
PF06216	RTBV_P46	Rice tungro bacilliform virus P46 protein	F
PF16973	FliN_N	Flagellar motor switch protein FliN N-terminal	D
PF14362	DUF4407	Domain of unknown function (DUF4407)	F
PF13450	NAD_binding_8	NAD(P)-binding Rossmann-like domain	D
PF10437	Lip_prot_lig_C	Bacterial lipoate protein ligase C-terminus	D
PF14365	Neprosin_AP	Neprosin activation peptide	F
PF13451	zf-trcl	Probable zinc-ribbon domain	D
PF11244	Med25_NR-box	Mediator complex subunit 25 C-terminal NR box-containing	D
PF14367	DUF4411	Domain of unknown function (DUF4411)	F
PF10549	ORF11CD3	ORF11CD3 domain	D
PF04485	NblA	Phycobilisome degradation protein nblA	F
PF01666	DX	DX module	F
PF10548	P22_AR_C	P22AR C-terminal domain	D
PF15195	TMEM210	TMEM210 family	F
PF15194	TMEM191C	TMEM191C family	F
PF15196	Harakiri	Activator of apoptosis harakiri	F
PF15191	Synaptonemal_3	Synaptonemal complex central element protein 3	F
PF15190	TMEM251	Transmembrane protein 251	F
PF15193	FAM24	FAM24 family	F
PF15192	TMEM213	TMEM213 family	F
PF16922	SLD5_C	DNA replication complex GINS protein SLD5 C-terminus	D
PF15199	DAOA	D-amino acid oxidase activator	F
PF15198	Dexa_ind	Dexamethasone-induced	F
PF05965	FYRC	F/Y rich C-terminus	F
PF14184	YrvL	Regulatory protein YrvL	F
PF10905	DUF2695	Protein of unknown function (DUF2695)	F
PF10904	DUF2694	Protein of unknown function (DUF2694)	F
PF10907	DUF2749	Protein of unknown function (DUF2749)	F
PF10906	Mrx7	MIOREX complex component 7	F
PF10901	DUF2690	Protein of unknown function (DUF2690)	F
PF14187	DUF4310	Domain of unknown function (DUF4310)	F
PF10903	DUF2691	Protein of unknown function (DUF2691)	F
PF17264	DUF5330	Family of unknown function (DUF5330)	F
PF04484	QWRF	QWRF family	F
PF13459	Fer4_15	4Fe-4S single cluster domain	D
PF10909	DUF2682	Protein of unknown function (DUF2682)	F
PF10908	DUF2778	Protein of unknown function (DUF2778)	F
PF02952	Fucose_iso_C	L-fucose isomerase, C-terminal domain	D
PF10268	Tmemb_161AB	Predicted transmembrane protein 161AB	F
PF14427	Pput2613-deam	Pput_2613-like deaminase	F
PF02955	GSH-S_ATP	Prokaryotic glutathione synthetase, ATP-grasp domain	D
PF02954	HTH_8	Bacterial regulatory protein, Fis family	D
PF10572	UPF0556	Uncharacterised protein family UPF0556	F
PF07192	SNURF	SNURF/RPN4 protein	F
PF10571	UPF0547	Uncharacterised protein family UPF0547	D
PF02605	PsaL	Photosystem I reaction centre subunit XI	F
PF10543	ORF6N	ORF6N domain	D
PF06108	DUF952	Protein of unknown function (DUF952)	F
PF06109	HlyE	Haemolysin E (HlyE)	F
PF06106	SAUGI	S. aureus uracil DNA glycosylase inhibitor	F
PF06107	DUF951	Bacterial protein of unknown function (DUF951)	F
PF06105	Aph-1	Aph-1 protein	F
PF06102	RRP36	rRNA biogenesis protein RRP36	F
PF06103	DUF948	Bacterial protein of unknown function (DUF948)	F
PF06100	MCRA	MCRA family	F
PF06101	Vps62	Vacuolar protein sorting-associated protein 62	F
PF03556	Cullin_binding	Cullin binding	F
PF16648	Calpain_u2	Unstructured region on Calpain-3	D
PF03554	Herpes_UL73	UL73 viral envelope glycoprotein	F
PF13860	FlgD_ig	FlgD Ig-like domain	D
PF03552	Cellulose_synt	Cellulose synthase	F
PF03553	Na_H_antiporter	Na+/H+ antiporter family	F
PF03550	LolB	Outer membrane lipoprotein LolB	F
PF16649	IL23	Interleukin 23 subunit alpha	D
PF00412	LIM	LIM domain	D
PF03558	TBSV_P22	TBSV core protein P21/P22	F
PF03559	Hexose_dehydrat	NDP-hexose 2,3-dehydratase	F
PF03393	Pneumo_matrix	Pneumovirus matrix protein	F
PF03089	RAG2	Recombination activating protein 2	F
PF16088	BORCS7	BLOC-1-related complex sub-unit 7	F
PF16089	DUF4818	Domain of unknown function (DUF4818)	F
PF00410	Ribosomal_S8	Ribosomal protein S8	D
PF18245	XRN1_DBM	5-3 exonuclease XRN1 DCP1-binding motif	D
PF01649	Ribosomal_S20p	Ribosomal protein S20	F
PF03080	Neprosin	Neprosin	F
PF03081	Exo70	Exo70 exocyst complex subunit	F
PF03082	MAGSP	Male accessory gland secretory protein	F
PF13864	Enkurin	Calmodulin-binding	F
PF16086	DUF4816	Domain of unknown function (DUF4816)	F
PF16087	DUF4817	Helix-turn-helix domain (DUF4817)	D
PF03086	DUF240	Domain of unknown function (DUF240)	D
PF03087	DUF241	Arabidopsis protein of unknown function	F
PF10433	MMS1_N	Mono-functional DNA-alkylating methyl methanesulfonate N-term	D
PF02690	Na_Pi_cotrans	Na+/Pi-cotransporter	F
PF10574	UPF0552	Arp2/3-interacting proteins Arpin	F
PF03394	Pox_E8	Poxvirus E8 protein	F
PF08297	U3_snoRNA_assoc	U3 snoRNA associated	F
PF07371	DUF1490	Protein of unknown function (DUF1490)	F
PF17555	TssN	Type VI secretion system, TssN	F
PF03880	DbpA	DbpA RNA binding domain	D
PF03881	Fructosamin_kin	Fructosamine kinase	F
PF03330	DPBB_1	Lytic transglycolase	D
PF03883	H2O2_YaaD	Peroxide stress protein YaaA	F
PF03336	Pox_C4_C10	Poxvirus C4/C10 protein	F
PF03885	DUF327	Protein of unknown function (DUF327)	F
PF03886	ABC_trans_aux	ABC-type transport auxiliary lipoprotein component	F
PF03335	Phage_fiber	Phage tail fibre repeat	R
PF03888	MucB_RseB	MucB/RseB N-terminal domain	D
PF03889	ArfA	Alternative ribosome-rescue factor A	D
PF03338	Pox_J1	Poxvirus J1 protein	F
PF03339	Pox_L3_FP4	Poxvirus L3/FP4 protein	F
PF03395	Pox_P4A	Poxvirus P4A protein	F
PF12360	Pax7	Paired box protein 7	F
PF16646	AXIN1_TNKS_BD	Axin-1 tankyrase binding domain	D
PF02803	Thiolase_C	Thiolase, C-terminal domain	D
PF09099	Qn_am_d_aIII	Quinohemoprotein amine dehydrogenase, alpha subunit domain III	D
PF16647	GCSF	Granulocyte colony-stimulating factor	D
PF02258	SLT_beta	Shiga-like toxin beta subunit	D
PF10576	EndIII_4Fe-2S	Iron-sulfur binding domain of endonuclease III	D
PF03396	Pox_RNA_pol_35	Poxvirus DNA-directed RNA polymerase, 35 kD subunit	F
PF12105	SpoU_methylas_C	SpoU, rRNA methylase, C-terminal	F
PF07051	OCIA	Ovarian carcinoma immunoreactive antigen (OCIA)	F
PF05488	PAAR_motif	PAAR motif	M
PF05489	Phage_tail_X	Phage Tail Protein X	D
PF05482	Serendipity_A	Serendipity locus alpha protein (SRY-A)	F
PF05483	SCP-1	Synaptonemal complex protein 1 (SCP-1)	F
PF05480	Staph_haemo	Staphylococcus haemolytic protein	F
PF05481	Myco_19_kDa	Mycobacterium 19 kDa lipoprotein antigen	F
PF05486	SRP9-21	Signal recognition particle 9 kDa protein (SRP9)	D
PF14424	Toxin-deaminase	The  BURPS668_1122 family of deaminases	F
PF05484	LRV_FeS	LRV protein FeS4 cluster	F
PF05485	THAP	THAP domain	D
PF11493	TSP9	Thylakoid soluble phosphoprotein TSP9	F
PF09096	Phage-tail_2	Baseplate structural protein, domain 2	D
PF10577	UPF0560	Uncharacterised protein family UPF0560	F
PF13349	DUF4097	Putative adhesin	F
PF13346	ABC2_membrane_5	ABC-2 family transporter protein	F
PF13347	MFS_2	MFS/sugar transport protein	F
PF13344	Hydrolase_6	Haloacid dehalogenase-like hydrolase	D
PF13342	Toprim_Crpt	C-terminal repeat of topoisomerase	D
PF13343	SBP_bac_6	Bacterial extracellular solute-binding protein	F
PF13340	DUF4096	Putative transposase of IS4/5 family (DUF4096)	F
PF13341	RAG2_PHD	RAG2 PHD domain	D
PF02933	CDC48_2	Cell division protein 48 (CDC48), domain 2	D
PF02684	LpxB	Lipid-A-disaccharide synthetase	F
PF02687	FtsX	FtsX-like permease family	F
PF15769	DUF4698	Domain of unknown function (DUF4698)	F
PF02681	DUF212	Divergent PAP2 family	F
PF02680	DUF211	Uncharacterized ArCR, COG1888	F
PF12358	DUF3644	Protein of unknown function (DUF3644)	D
PF02682	CT_C_D	Carboxyltransferase domain, subdomain C and D	F
PF12356	BIRC6	Baculoviral IAP repeat-containing protein 6	F
PF18733	HEPN_LA2681	LA2681-like HEPN	D
PF18730	HEPN_Cthe2314	Cthe_2314-like HEPN	D
PF12355	Dscam_C	Down syndrome cell adhesion molecule C terminal	F
PF02832	Flavi_glycop_C	Flavivirus glycoprotein, immunoglobulin-like domain	D
PF12353	eIF3g	Eukaryotic translation initiation factor 3 subunit G	F
PF12350	CTK3_C	CTD kinase subunit gamma CTK3 C-terminus	D
PF08998	Epsilon_antitox	Bacterial epsilon antitoxin	D
PF11616	EZH2_WD-Binding	WD repeat binding protein EZH2	F
PF11617	Cu-binding_MopE	Putative metal-binding motif	R
PF11614	FixG_C	IG-like fold at C-terminal of FixG, putative oxidoreductase	D
PF11615	Caf4	CCR4-associated factor 4	F
PF10578	SVS_QK	Seminal vesicle protein repeat	R
PF11610	Ste5	Scaffold protein Ste5, Fus3-binding region	F
PF09674	DUF2400	Protein of unknown function (DUF2400)	F
PF02223	Thymidylate_kin	Thymidylate kinase	D
PF09677	TrbI_Ftype	Type-F conjugative transfer system protein (TrbI_Ftype)	F
PF11618	C2-C2_1	First C2 domain of RPGR-interacting protein 1	D
PF02550	AcetylCoA_hydro	Acetyl-CoA hydrolase/transferase N-terminal domain	D
PF02221	E1_DerP2_DerF2	ML domain	D
PF02691	VacA	Vacuolating cyotoxin	F
PF15760	DLEU7	Leukemia-associated protein 7	F
PF18596	Sld7_C	Sld7 C-terminal domain	D
PF18597	SH3_19	Myosin X N-terminal SH3 domain	D
PF10579	Rapsyn_N	Rapsyn N-terminal myristoylation and linker region	F
PF18595	DHR10	Designed helical repeat protein 10 domain	D
PF01019	G_glu_transpept	Gamma-glutamyltranspeptidase	D
PF18593	CdiI_2	CdiI immunity protein	D
PF18590	IMP2_N	Immune Mapped Protein 2 (IMP2) N-terminal domain	D
PF03319	EutN_CcmL	Ethanolamine utilisation protein EutN/carboxysome	D
PF07768	PVL_ORF50	PVL ORF-50-like family	F
PF01014	Uricase	Uricase	D
PF01017	STAT_alpha	STAT protein, all-alpha domain	F
PF01016	Ribosomal_L27	Ribosomal L27 protein	F
PF01011	PQQ	PQQ enzyme repeat	R
PF01010	Proton_antipo_C	NADH-dehyrogenase subunit F, TMs, (complex I) C-terminus	F
